12/13/2016,35,,,
12/14/2016,15,,,
12/15/2016,10,,,
12/16/2016,13,,,
12/17/2016,3,,,
12/18/2016,13,,,
12/19/2016,5,,,
12/20/2016,10,,,
12/21/2016,4,,,
12/22/2016,8,,,
12/23/2016,2,,,
12/24/2016,2,,,
12/25/2016,2,,,
12/26/2016,6,,,
12/27/2016,8,,,
12/28/2016,1,,,
12/29/2016,7,,,
12/30/2016,5,,,
12/31/2016,2,,,
01/01/2017,6,,,
01/02/2017,4,,,
01/03/2017,7,,,
01/04/2017,19,,,
01/05/2017,33,,,
01/06/2017,43,,,
01/07/2017,56,,,
01/08/2017,78,,,
01/09/2017,114,,,
01/10/2017,101,,,
01/11/2017,85,,,
01/12/2017,83,,,
01/13/2017,52,,,
01/14/2017,42,,,
01/15/2017,46,,,
01/16/2017,54,,,
01/17/2017,83,,,
01/18/2017,76,,,
01/19/2017,61,,,
01/20/2017,70,,,
01/21/2017,37,,,
01/22/2017,56,,,
01/23/2017,93,,,
01/24/2017,80,,,
01/25/2017,70,,,
01/26/2017,56,,,
01/27/2017,57,,,
01/28/2017,31,,,
01/29/2017,43,,,
01/30/2017,74,,,
01/31/2017,54,,,
02/01/2017,65,,,
02/02/2017,52,,,
02/03/2017,56,,,
02/04/2017,27,,,
02/05/2017,53,,,
02/06/2017,80,,,
02/07/2017,75,,,
02/08/2017,71,,,
02/09/2017,74,,,
02/10/2017,54,,,
02/11/2017,33,,,
02/12/2017,43,,,
02/13/2017,60,,,
02/14/2017,42,,,
02/15/2017,53,,,
02/16/2017,56,,,
02/17/2017,50,,,
02/18/2017,23,,,
02/19/2017,29,,,
02/20/2017,45,,,
02/21/2017,89,,,
02/22/2017,71,,,
02/23/2017,57,,,
02/24/2017,60,,,
02/25/2017,28,,,
02/26/2017,43,,,
02/27/2017,58,,,
02/28/2017,73,,,
03/01/2017,55,,,
03/02/2017,62,,,
03/03/2017,32,,,
03/04/2017,22,,,
03/05/2017,40,,,
03/06/2017,65,,,
03/07/2017,60,,,
03/08/2017,44,,,
03/09/2017,41,,,
03/10/2017,40,,,
03/11/2017,20,,,
03/12/2017,58,,,
03/13/2017,77,,,
03/14/2017,52,,,
03/15/2017,38,,,
03/16/2017,48,,,
03/17/2017,34,,,
03/18/2017,15,,,
03/19/2017,41,,,
03/20/2017,39,,,
03/21/2017,48,,,
03/22/2017,55,,,
03/23/2017,41,,,
03/24/2017,27,,,
03/25/2017,15,,,
03/26/2017,16,,,
03/27/2017,34,,,
03/28/2017,39,,,
03/29/2017,12,,,
03/30/2017,22,,,
03/31/2017,12,,,
04/01/2017,10,,,
04/02/2017,54,,,
04/03/2017,90,,,
04/04/2017,61,,,
04/05/2017,76,,,
04/06/2017,71,,,
04/07/2017,56,,,
04/08/2017,33,,,
04/09/2017,49,,,
04/10/2017,39,,,
04/11/2017,75,,,
04/12/2017,66,,,
04/13/2017,45,,,
04/14/2017,42,,,
04/15/2017,32,,,
04/16/2017,31,,,
04/17/2017,61,,,
04/18/2017,64,,,
04/19/2017,42,,,
04/20/2017,36,,,
04/21/2017,31,,,
04/22/2017,23,,,
04/23/2017,53,,,
04/24/2017,52,,,
04/25/2017,82,,,
04/26/2017,51,,,
04/27/2017,48,,,
04/28/2017,50,,,
04/29/2017,26,,,
04/30/2017,30,,,
05/01/2017,40,,,
05/02/2017,60,,,
05/03/2017,53,,,
05/04/2017,65,,,
05/05/2017,21,,,
05/06/2017,27,,,
05/07/2017,39,,,
05/08/2017,50,,,
05/09/2017,43,,,
05/10/2017,40,,,
05/11/2017,31,,,
05/12/2017,29,,,
05/13/2017,17,,,
05/14/2017,39,,,
05/15/2017,52,,,
05/16/2017,33,,,
05/17/2017,43,,,
05/18/2017,68,,,
05/19/2017,32,,,
05/20/2017,10,,,
05/21/2017,37,,,
05/22/2017,53,,,
05/23/2017,58,,,
05/24/2017,58,,,
05/25/2017,39,,,
05/26/2017,25,,,
05/27/2017,15,,,
05/28/2017,19,,,
05/29/2017,41,,,
05/30/2017,65,,,
05/31/2017,72,,,
06/01/2017,61,,,
06/02/2017,35,,,
06/03/2017,29,,,
06/04/2017,52,,,
06/05/2017,76,,,
06/06/2017,76,,,
06/07/2017,79,,,
06/08/2017,74,,,
06/09/2017,64,,,
06/10/2017,65,,,
06/11/2017,47,,,
06/12/2017,79,,,
06/13/2017,89,,,
06/14/2017,84,,,
06/15/2017,105,,,
06/16/2017,41,,,
06/17/2017,13,,,
06/18/2017,21,,,
06/19/2017,23,,,
06/20/2017,45,,,
06/21/2017,24,,,
06/22/2017,26,,,
06/23/2017,30,,,
06/24/2017,14,,,
06/25/2017,22,,,
06/26/2017,30,,,
06/27/2017,28,,,
06/28/2017,14,,,
06/29/2017,21,,,
06/30/2017,24,,,
07/01/2017,11,,,
07/02/2017,13,,,
07/03/2017,18,,,
07/04/2017,6,,,
07/05/2017,34,,,
07/06/2017,20,,,
07/07/2017,18,,,
07/08/2017,17,,,
07/09/2017,9,,,
07/10/2017,23,,,
07/11/2017,14,,,
07/12/2017,17,,,
07/13/2017,11,,,
07/14/2017,31,,,
07/15/2017,5,,,
07/16/2017,11,,,
07/17/2017,18,,,
